Account:What.ExternalId__c,Contact:Who.Email,ExternalId__c,Priority,Status,Subject
ACC_0119,contact83@acc-0119.com,TASK_00196,Normal,Not Started,Follow up 196
ACC_0119,contact82@acc-0119.com,TASK_00197,Low,Not Started,Follow up 197
ACC_0119,contact80@acc-0119.com,TASK_00198,Normal,,Follow up 198
ACC_0014,contact85@acc-0014.com,TASK_00199,Low,Not Started,Follow up 199
ACC_0036,contact88@acc-0036.com,TASK_00200,Low,Not Started,Follow up 200
ACC_0036,contact88@acc-0036.com,TASK_00201,Low,Not Started,Follow up 201
ACC_0036,contact88@acc-0036.com,TASK_00202,High,Completed,Follow up 202
ACC_0036,contact88@acc-0036.com,TASK_00203,High,Completed,Follow up 203
ACC_0036,contact88@acc-0036.com,TASK_00204,Low,Not Started,Follow up 204
ACC_0036,contact88@acc-0036.com,TASK_00205,Low,Not Started,Follow up 205
ACC_0084,,TASK_00206,Low,Completed,Follow up 206
ACC_0084,,TASK_00207,High,Not Started,Follow up 207
ACC_0084,contact92@acc-0084.com,TASK_00208,Low,Completed,Follow up 208
ACC_0084,contact89@acc-0084.com,TASK_00209,High,Completed,Follow up 209
ACC_0084,,TASK_00210,Normal,Not Started,Follow up 210
ACC_0084,,TASK_00211,High,Completed,Follow up 211
ACC_0118,,TASK_00212,Low,Completed,Follow up 212
ACC_0118,contact93@acc-0118.com,TASK_00213,High,,Follow up 213
ACC_0060,contact94@acc-0060.com,TASK_00214,High,Not Started,Follow up 214
ACC_0060,contact94@acc-0060.com,TASK_00215,Normal,Completed,Follow up 215
ACC_0060,contact94@acc-0060.com,TASK_00216,High,,Follow up 216
ACC_0075,contact96@acc-0075.com,TASK_00217,High,Not Started,Follow up 217
ACC_0075,,TASK_00218,Low,Completed,Follow up 218
ACC_0075,contact96@acc-0075.com,TASK_00219,High,Completed,Follow up 219
ACC_0063,contact100@acc-0063.com,TASK_00220,Low,,Follow up 220
ACC_0063,contact99@acc-0063.com,TASK_00221,High,Not Started,Follow up 221
ACC_0063,,TASK_00222,Low,Not Started,Follow up 222
ACC_0063,contact100@acc-0063.com,TASK_00223,Low,Not Started,Follow up 223
ACC_0063,contact98@acc-0063.com,TASK_00224,High,Not Started,Follow up 224
ACC_0063,,TASK_00225,Low,Completed,Follow up 225
ACC_0063,contact98@acc-0063.com,TASK_00226,Normal,Completed,Follow up 226
ACC_0063,contact98@acc-0063.com,TASK_00227,Normal,Not Started,Follow up 227
ACC_0035,,TASK_00228,,Completed,Follow up 228
ACC_0035,,TASK_00229,Normal,Not Started,Follow up 229
ACC_0035,contact102@acc-0035.com,TASK_00230,Normal,Not Started,Follow up 230
ACC_0062,contact106@acc-0062.com,TASK_00231,High,Completed,Follow up 231
ACC_0062,contact103@acc-0062.com,TASK_00232,,Completed,Follow up 232
ACC_0062,contact106@acc-0062.com,TASK_00233,,Completed,Follow up 233
ACC_0062,contact104@acc-0062.com,TASK_00234,Low,Completed,Follow up 234
ACC_0062,contact106@acc-0062.com,TASK_00235,Low,Not Started,Follow up 235
ACC_0062,contact106@acc-0062.com,TASK_00236,High,Not Started,Follow up 236
ACC_0062,contact103@acc-0062.com,TASK_00237,High,Completed,Follow up 237
ACC_0062,contact104@acc-0062.com,TASK_00238,High,Not Started,Follow up 238
ACC_0062,contact104@acc-0062.com,TASK_00239,Low,Not Started,Follow up 239
ACC_0004,contact107@acc-0004.com,TASK_00240,Normal,Completed,Follow up 240
ACC_0004,contact108@acc-0004.com,TASK_00241,High,Not Started,Follow up 241
ACC_0004,,TASK_00242,Normal,Completed,Follow up 242
ACC_0004,contact107@acc-0004.com,TASK_00243,High,Completed,Follow up 243
ACC_0004,contact108@acc-0004.com,TASK_00244,Normal,Not Started,Follow up 244
ACC_0004,contact107@acc-0004.com,TASK_00245,Normal,Not Started,Follow up 245
ACC_0004,contact107@acc-0004.com,TASK_00246,Normal,Completed,Follow up 246
ACC_0004,contact107@acc-0004.com,TASK_00247,High,Completed,Follow up 247
ACC_0004,contact108@acc-0004.com,TASK_00248,Normal,,Follow up 248
ACC_0007,contact109@acc-0007.com,TASK_00249,,Not Started,Follow up 249
ACC_0007,contact109@acc-0007.com,TASK_00250,Low,Completed,Follow up 250
ACC_0007,contact109@acc-0007.com,TASK_00251,Normal,Completed,Follow up 251
ACC_0007,contact109@acc-0007.com,TASK_00252,Low,Not Started,Follow up 252
ACC_0007,,TASK_00253,,Not Started,Follow up 253
ACC_0041,contact110@acc-0041.com,TASK_00254,Low,Not Started,Follow up 254
ACC_0041,contact111@acc-0041.com,TASK_00255,High,Completed,Follow up 255
ACC_0067,contact112@acc-0067.com,TASK_00256,Low,Completed,Follow up 256
ACC_0067,contact112@acc-0067.com,TASK_00257,Low,Not Started,Follow up 257
ACC_0067,,TASK_00258,Normal,Not Started,Follow up 258
ACC_0067,contact112@acc-0067.com,TASK_00259,Low,Not Started,Follow up 259
ACC_0067,contact112@acc-0067.com,TASK_00260,High,,Follow up 260
ACC_0067,contact112@acc-0067.com,TASK_00261,Normal,Not Started,Follow up 261
ACC_0100,,TASK_00262,High,,Follow up 262
ACC_0100,contact114@acc-0100.com,TASK_00263,,Completed,Follow up 263
ACC_0100,contact114@acc-0100.com,TASK_00264,High,Completed,Follow up 264
ACC_0100,contact114@acc-0100.com,TASK_00265,High,Not Started,Follow up 265
ACC_0100,contact114@acc-0100.com,TASK_00266,High,Not Started,Follow up 266
ACC_0100,contact114@acc-0100.com,TASK_00267,Normal,Completed,Follow up 267
ACC_0100,contact114@acc-0100.com,TASK_00268,High,Completed,Follow up 268
ACC_0100,,TASK_00269,Low,Completed,Follow up 269
ACC_0087,contact115@acc-0087.com,TASK_00270,,Not Started,Follow up 270
ACC_0087,contact115@acc-0087.com,TASK_00271,Normal,Not Started,Follow up 271
ACC_0087,contact115@acc-0087.com,TASK_00272,High,Not Started,Follow up 272
ACC_0087,contact117@acc-0087.com,TASK_00273,Low,Completed,Follow up 273
ACC_0087,contact117@acc-0087.com,TASK_00274,Low,,Follow up 274
ACC_0087,contact116@acc-0087.com,TASK_00275,High,Not Started,Follow up 275
ACC_0087,contact116@acc-0087.com,TASK_00276,Normal,,Follow up 276
ACC_0087,,TASK_00277,High,,Follow up 277
ACC_0087,contact117@acc-0087.com,TASK_00278,High,Not Started,Follow up 278
ACC_0106,contact118@acc-0106.com,TASK_00279,Normal,Completed,Follow up 279
ACC_0106,contact119@acc-0106.com,TASK_00280,,Completed,Follow up 280
ACC_0106,,TASK_00281,High,Completed,Follow up 281
ACC_0106,contact121@acc-0106.com,TASK_00282,,Not Started,Follow up 282
ACC_0106,contact118@acc-0106.com,TASK_00283,High,Not Started,Follow up 283
ACC_0106,contact121@acc-0106.com,TASK_00284,Low,Completed,Follow up 284
ACC_0106,contact119@acc-0106.com,TASK_00285,High,Completed,Follow up 285
ACC_0106,contact121@acc-0106.com,TASK_00286,High,Not Started,Follow up 286
ACC_0019,,TASK_00287,Low,Completed,Follow up 287
ACC_0019,contact122@acc-0019.com,TASK_00288,High,Not Started,Follow up 288
ACC_0019,contact123@acc-0019.com,TASK_00289,High,Completed,Follow up 289
ACC_0019,contact122@acc-0019.com,TASK_00290,High,,Follow up 290
ACC_0019,,TASK_00291,High,Not Started,Follow up 291
ACC_0019,contact125@acc-0019.com,TASK_00292,High,Not Started,Follow up 292
ACC_0019,contact125@acc-0019.com,TASK_00293,Low,Completed,Follow up 293
ACC_0019,contact123@acc-0019.com,TASK_00294,Normal,Completed,Follow up 294
ACC_0019,contact122@acc-0019.com,TASK_00295,High,Completed,Follow up 295
ACC_0019,,TASK_00296,Normal,Completed,Follow up 296
ACC_0055,,TASK_00297,Low,Completed,Follow up 297
ACC_0055,contact127@acc-0055.com,TASK_00298,Low,Completed,Follow up 298
ACC_0055,,TASK_00299,Low,,Follow up 299
ACC_0055,,TASK_00300,High,Not Started,Follow up 300
ACC_0055,contact128@acc-0055.com,TASK_00301,High,,Follow up 301
ACC_0055,,TASK_00302,Normal,Completed,Follow up 302
ACC_0045,contact130@acc-0045.com,TASK_00303,High,Completed,Follow up 303
ACC_0045,,TASK_00304,Normal,Not Started,Follow up 304
ACC_0045,contact131@acc-0045.com,TASK_00305,Normal,Completed,Follow up 305
ACC_0045,contact130@acc-0045.com,TASK_00306,High,Not Started,Follow up 306
ACC_0045,contact131@acc-0045.com,TASK_00307,High,Not Started,Follow up 307
ACC_0116,contact132@acc-0116.com,TASK_00308,High,Completed,Follow up 308
ACC_0102,contact133@acc-0102.com,TASK_00309,Low,Completed,Follow up 309
ACC_0102,contact133@acc-0102.com,TASK_00310,High,,Follow up 310
ACC_0102,,TASK_00311,Low,Completed,Follow up 311
ACC_0102,contact134@acc-0102.com,TASK_00312,Low,Completed,Follow up 312
ACC_0102,contact133@acc-0102.com,TASK_00313,Low,Not Started,Follow up 313
ACC_0102,contact133@acc-0102.com,TASK_00314,Normal,Not Started,Follow up 314
ACC_0102,contact134@acc-0102.com,TASK_00315,Normal,Completed,Follow up 315
ACC_0034,,TASK_00316,Normal,Completed,Follow up 316
ACC_0034,contact136@acc-0034.com,TASK_00317,Normal,Not Started,Follow up 317
ACC_0034,contact139@acc-0034.com,TASK_00318,Normal,,Follow up 318
ACC_0034,contact136@acc-0034.com,TASK_00319,Normal,,Follow up 319
ACC_0034,contact139@acc-0034.com,TASK_00320,High,Not Started,Follow up 320
ACC_0034,,TASK_00321,Low,Not Started,Follow up 321
ACC_0089,contact140@acc-0089.com,TASK_00322,Normal,Not Started,Follow up 322
ACC_0033,contact142@acc-0033.com,TASK_00323,Low,Not Started,Follow up 323
ACC_0111,contact145@acc-0111.com,TASK_00324,Low,Not Started,Follow up 324
ACC_0111,contact145@acc-0111.com,TASK_00325,Low,Not Started,Follow up 325
ACC_0111,contact145@acc-0111.com,TASK_00326,Normal,Not Started,Follow up 326
ACC_0111,,TASK_00327,Low,Not Started,Follow up 327
ACC_0111,contact144@acc-0111.com,TASK_00328,Normal,,Follow up 328
ACC_0111,contact145@acc-0111.com,TASK_00329,Low,Not Started,Follow up 329
ACC_0111,contact145@acc-0111.com,TASK_00330,Low,Not Started,Follow up 330
ACC_0111,,TASK_00331,High,Not Started,Follow up 331
ACC_0111,contact145@acc-0111.com,TASK_00332,Normal,Completed,Follow up 332
ACC_0111,contact145@acc-0111.com,TASK_00333,High,Not Started,Follow up 333
ACC_0098,contact146@acc-0098.com,TASK_00334,Normal,Not Started,Follow up 334
ACC_0098,contact147@acc-0098.com,TASK_00335,Normal,Not Started,Follow up 335
ACC_0037,contact151@acc-0037.com,TASK_00336,High,Completed,Follow up 336
ACC_0037,contact150@acc-0037.com,TASK_00337,Normal,Not Started,Follow up 337
ACC_0037,contact151@acc-0037.com,TASK_00338,Normal,Not Started,Follow up 338
ACC_0037,,TASK_00339,High,Completed,Follow up 339
ACC_0037,contact149@acc-0037.com,TASK_00340,Low,,Follow up 340
ACC_0037,contact150@acc-0037.com,TASK_00341,High,,Follow up 341
ACC_0037,,TASK_00342,Low,Not Started,Follow up 342
ACC_0027,contact152@acc-0027.com,TASK_00343,High,,Follow up 343
ACC_0027,contact153@acc-0027.com,TASK_00344,High,Completed,Follow up 344
ACC_0027,contact152@acc-0027.com,TASK_00345,,Not Started,Follow up 345
ACC_0027,,TASK_00346,Low,Not Started,Follow up 346
ACC_0027,contact153@acc-0027.com,TASK_00347,Low,Not Started,Follow up 347
ACC_0027,,TASK_00348,Normal,Completed,Follow up 348
ACC_0074,contact155@acc-0074.com,TASK_00349,Low,Completed,Follow up 349
ACC_0074,contact156@acc-0074.com,TASK_00350,,Completed,Follow up 350
ACC_0074,contact154@acc-0074.com,TASK_00351,High,Completed,Follow up 351
ACC_0074,contact154@acc-0074.com,TASK_00352,Normal,Not Started,Follow up 352
ACC_0074,contact155@acc-0074.com,TASK_00353,Low,Not Started,Follow up 353
ACC_0074,contact155@acc-0074.com,TASK_00354,Normal,Completed,Follow up 354
ACC_0074,contact154@acc-0074.com,TASK_00355,Normal,Completed,Follow up 355
ACC_0074,contact154@acc-0074.com,TASK_00356,Low,Not Started,Follow up 356
ACC_0074,contact155@acc-0074.com,TASK_00357,Low,Completed,Follow up 357
ACC_0074,,TASK_00358,Normal,Not Started,Follow up 358
ACC_0001,contact160@acc-0001.com,TASK_00359,Low,Completed,Follow up 359
ACC_0001,contact157@acc-0001.com,TASK_00360,High,Completed,Follow up 360
ACC_0001,contact158@acc-0001.com,TASK_00361,Normal,Not Started,Follow up 361
ACC_0001,,TASK_00362,Low,Completed,Follow up 362
ACC_0001,contact157@acc-0001.com,TASK_00363,High,Completed,Follow up 363
ACC_0001,contact160@acc-0001.com,TASK_00364,Low,Not Started,Follow up 364
ACC_0001,contact158@acc-0001.com,TASK_00365,Normal,Completed,Follow up 365
ACC_0016,contact161@acc-0016.com,TASK_00366,Normal,Not Started,Follow up 366
ACC_0016,contact162@acc-0016.com,TASK_00367,Normal,Completed,Follow up 367
ACC_0016,contact162@acc-0016.com,TASK_00368,Normal,,Follow up 368
ACC_0016,contact161@acc-0016.com,TASK_00369,,Completed,Follow up 369
ACC_0016,,TASK_00370,Low,Not Started,Follow up 370
ACC_0016,contact162@acc-0016.com,TASK_00371,High,Not Started,Follow up 371
ACC_0016,contact162@acc-0016.com,TASK_00372,Low,Not Started,Follow up 372
